Data Colação,Trabalhando?,O que está fazendo?,Área de Atuação,Área de atuação em TI,Mudou de trabalho por causa do curso?,Contato feito?,Empresa,Mudou de região?,Finalizado,Já trabalhava com TI no curso?
17/03/2017,Sim,,TI,Gestão de TI,Sim,Não,Associação Atlética Ferroviária de Pindamonhangaba,,Sim,Sim
17/03/2017,Sim,,TI,Sistemas,Sim,Não,,,Sim,
17/03/2017,,,,,,Aguardando,,,Sim,
17/03/2017,Sim,,Produção,,Não,Não,Liebherr,,Sim,
17/03/2017,,,,,,Aguardando,,,Sim,
17/03/2017,Sim,,Museu,,Não,Não,Santuário Nacional de Aparecida,,Sim,
17/03/2017,Sim,,TI,Educação,Sim,Não,Prefeitura Municipal de Guaratinguetá,,Sim,
17/03/2017,Sim,,Qualidade,,Não,Não,Íbis Hotel,,Sim,
17/03/2017,Sim,,Estética,,Não,Sim,Empresa própria,,Sim,
17/03/2017,Sim,,Administração,,Não,Sim,Empresa própria,,Sim,
17/03/2017,Sim,,Administração,,Não,Sim,Instituto Mix,,Sim,
17/03/2017,Sim,,TI,Dev,Sim,Não,Kersys Desenvolvimento de Sistemas,Sim,Sim,
17/03/2017,Sim,,Vendas,,Não,Sim,Cianorte Magazine,,Sim,
15/09/2017,Sim,,TI,Manutenção,Sim,Não,JJ Impressoras Eireli,Sim,Sim,Sim
15/09/2017,Sim,,TI,Redes,Não,Não,Vivo,,Sim,Sim
15/09/2017,Sim,,Tapeçaria,,Não,Sim,Tapeçaria,,Sim,
15/09/2017,Sim,,TI,Gestão de TI,Sim,Não,Santa Casa de Pindamonhangaba,,Sim,Sim
15/09/2017,Sim,,TI,Educação,Sim,Sim,Colégio Girassol,,Sim,
15/09/2017,Sim,,TI,Dev,Não,Não,SMT Soluções em Tecnologia,Sim,Sim,
15/09/2017,Sim,,TI,Dev,Sim,Não,Agência ILI,Sim,Sim,Sim
15/09/2017,Sim,,TI,Infraestrutura,Sim,Sim,Santuário Nacional de Aparecida,,Sim,Sim
15/09/2017,Sim,,TI,Suporte,Sim,Não,Liebherr,,Sim,
15/09/2017,Sim,,TI,Redes,Não,Não,Provale,,Sim,Sim
15/09/2017,Sim,,Militar,,Não,Não,Polícia Militar,,Sim,
15/09/2017,Sim,,TI,Suporte,Sim,Sim,Provale,,Sim,
15/09/2017,Sim,,Motorista,,Não,Sim,Prefeitura Municipal de Guaratinguetá,,Sim,
15/09/2017,Sim,,Turismo,,Não,Não,Empresa própria,,Sim,
15/09/2017,Não,Procurando,,,Não,Sim,,,Sim,
15/09/2017,Sim,,Militar,,Não,Não,Aeronáutica,,Sim,
15/09/2017,Sim,,Produção,,Não,Sim,Goldfinger,,Sim,
15/09/2017,Sim,,Moda,,Não,Sim,Forh3r,Sim,Sim,
15/09/2017,Sim,,TI,Suporte,Sim,Sim,Gerdau,,Sim,Sim
15/09/2017,Sim,,TI,Suporte,Sim,Sim,Provale,,Sim,
15/09/2017,Sim,,TI,Redes,Sim,Não,Provale,,Sim,
15/09/2017,Sim,,Militar,,Não,Não,Aeronáutica,,Sim,
15/09/2017,Não ,Procurando,,,Sim,Sim,,,Sim,
15/09/2017,,,,,,Aguardando,,,Sim,
15/09/2017,Sim,,Militar,,Não,Não,Aeronáutica,,Sim,
15/09/2017,Sim,,TI,Redes,Não,Não,NET,,Sim,Sim
15/09/2017,Não,Procurando,,,Não,Sim,,,Sim,
15/09/2017,Não,Procurando,,,Não,Sim,,,Sim,
15/03/2018,Sim,,Administração,,Não,Sim,Prefeitura de Pindamonhangaba,,Sim,
15/03/2018,Sim,,Design,,Sim,Sim,Freelancer,,Sim,
15/03/2018,Sim,,Vendas,,Não,Sim,New Holland (agro),Sim,Sim,
15/03/2018,Sim,,TI,Negócios,Sim,Sim,Liebherr,,Sim,
15/03/2018,Sim,,TI,Dev,Sim,Não,Taking,Sim,Sim,Sim
15/03/2018,Sim,,TI,Dev,Sim,Não,Embras,,Sim,
15/03/2018,Sim,,Administração,,Não,Não,Unimed,,Sim,
15/03/2018,Sim,,TI,Negócios,Sim,Não,Basf,,Sim,
15/03/2018,Sim,,TI,Manutenção,Sim,Não,Empresa própria,,Sim,
15/03/2018,Sim,,TI,Suporte,Sim,Não,Atacadão,,Sim,
15/03/2018,Sim,,TI,Suporte,Sim,Não,Connectis,,Sim,
15/03/2018,Sim,,Administração,,Não,Não,Flávia Atacado,,Sim,
15/03/2018,Sim,,TI,Sistemas,Sim,Não,Softvale,,Sim,
15/03/2018,Sim,,Administração,,Sim,Sim,Eletroguara Materiais Elétricos,,Sim,
15/03/2018,Não,,,,,SIm,,,Sim,
15/03/2018,Sim,,TI,Suporte,Sim,Sim,Embraer,,Sim,
15/03/2018,Sim,,TI,Telecomunicações,Sim,Sim,Velloznet,,Sim,Sim
15/03/2018,Sim,,TI,Suporte,Sim,Não,Hostinger Brasil,Sim,Sim,
15/03/2018,Sim,,TI,Negócios,Sim,Não,Deloitte Brasil,Sim,Sim,
15/03/2018,Sim,,TI,Dev,Sim,Sim,Apollo Tubulars,,Sim,
15/03/2018,,,,,,Aguardando,,,Sim,Sim
15/03/2018,Sim,,TI,Dev,Sim,Não,Líax,,Sim,
26/04/2018,,,,,,Aguardando,,,,
31/08/2018,Sim,,Administração,,Não,Não,FEG,,Sim,
31/08/2018,Sim,,Administração,,Não,Não,USP,,Sim,
31/08/2018,Sim,,Vendas,,Não,Não,Colgate,,Sim,
31/08/2018,Sim,,TI,Educação,Sim,Sim,Prefeitura Municipal de Guaratinguetá,,Sim,Sim
31/08/2018,Sim,,TI,Sistemas,Não,Não,Unimed,,Sim,
31/08/2018,Sim,,Administração,,Não,Não,AMIGA,,Sim,
31/08/2018,Sim,,TI,Infraestrutura,Sim,Sim,Atacadão,,Sim,
31/08/2018,Sim,,Administração,,Não,Não,Minerais São José,,Sim,
31/08/2018,Sim,,TI,Sistemas,Sim,Sim,Santuário Nacional de Aparecida,,Sim,
31/08/2018,Não,Procurando,,,Não,Sim,,,Sim,
31/08/2018,Sim,,Administração,,Não,Sim,Empresa própria - supermercado,,Sim,
31/08/2018,Sim,,TI,Dev,Sim,Não,Serconvale,,Sim,
31/08/2018,Sim,,TI,Dev,Sim,Sim,Softwillians,Sim,Sim,
31/08/2018,Sim,,Marketing,,Não,Não,Hotel Clube dos 500,,Sim,
31/08/2018,Sim,,TI,Dev,Sim,Sim,?,,Sim,
31/08/2018,Sim,,TI,Suporte,Não,Não,Empresa própria,,Sim,Sim
31/08/2018,Não,Procurando,,,Não,Sim,,,Sim,
31/08/2018,Sim,,TI,Suporte,Não,Não,Hospital Frei Galvão,,Sim,Sim
31/08/2018,Sim,,Administração,,Não,Sim,Reformadora de Pneus Taubaté,,Sim,
